"HDI","Country","Edu2.FM","Life.Exp","mean.edu","GNI","Mat.Mor","Ado.Birth","Parli.F"
"96",0.721,"Tunisia",0.711496746203904,74.8,6.8,10404,46,4.6,31.3
"97",0.72,"Colombia",1.02338129496403,74,7.3,12040,83,68.5,20.9
"98",0.72,"Saint Vincent and the Grenadines",NA,72.9,8.6,9937,45,54.5,13
"99",0.719,"Jamaica",1.05413105413105,75.7,9.7,7415,80,70.1,16.7
"100",0.717,"Tonga",0.990939977349943,72.8,10.7,5069,120,18.1,0
"101",0.715,"Belize",1.00791556728232,70,10.5,7614,45,71.4,13.3
"102",0.715,"Dominican Republic",1.04708097928437,73.5,7.6,11883,100,99.6,19.1
"103",0.714,"Suriname",0.94692144373673,71.1,7.7,15617,130,35.2,11.8
"104",0.706,"Maldives",0.834862385321101,76.8,5.8,12328,31,4.2,5.9
"105",0.702,"Samoa",1.07166666666667,73.4,10.3,5327,58,28.3,6.1
"106",0.698,"Botswana",0.944801026957638,64.5,8.9,16646,170,44.2,9.5
"107",0.693,"Moldova (Republic of)",0.968944099378882,71.6,11.2,5223,21,29.3,20.8
"108",0.69,"Egypt",0.724422442244224,71.1,6.6,10512,45,43,2.2
"109",0.688,"Turkmenistan",NA,65.6,9.9,13066,61,18,25.8
"110",0.684,"Gabon",1.49307479224377,64.4,7.8,16367,240,103,16.2
"111",0.684,"Indonesia",0.810975609756098,68.9,7.6,9788,190,48.3,17.1
"112",0.679,"Paraguay",0.855813953488372,72.9,7.7,7643,110,67,16.8
"113",0.677,"Palestine, State of",0.907407407407407,72.9,8.9,4699,NA,45.8,NA
"114",0.675,"Uzbekistan",NA,68.4,10.9,5567,36,38.8,16.4
"115",0.668,"Philippines",1.03453689167975,68.2,8.9,7915,120,46.8,27.1
"116",0.666,"El Salvador",0.844036697247706,73,6.5,7349,69,76,27.4
"117",0.666,"South Africa",0.957839262187088,57.4,9.9,12122,140,50.9,40.7
"118",0.666,"Viet Nam",0.834269662921348,75.8,7.5,5092,49,29,24.3
"119",0.662,"Bolivia (Plurinational State of)",0.805414551607445,68.3,8.2,5760,200,71.9,51.8
"120",0.655,"Kyrgyzstan",0.976239669421488,70.6,10.6,3044,75,29.3,23.3
"121",0.654,"Iraq",0.553784860557769,69.4,6.4,14003,67,68.7,26.5
"122",0.646,"Cabo Verde",NA,73.3,4.7,6094,53,70.6,20.8
"123",0.64,"Micronesia (Federated States of)",NA,69.1,9.7,3432,96,18.6,0
"124",0.636,"Guyana",1.26150627615063,66.4,8.5,6522,250,88.5,31.3
"125",0.631,"Nicaragua",1.02872062663185,74.9,6,4457,100,100.8,39.1
"126",0.628,"Morocco",0.685430463576159,74,4.4,6850,120,35.8,11
"127",0.628,"Namibia",0.968023255813953,64.8,6.2,9418,130,54.9,37.7
"128",0.627,"Guatemala",0.943965517241379,71.8,5.6,6929,140,97.2,13.3
"129",0.624,"Tajikistan",1.04276315789474,69.4,10.4,2517,44,42.8,15.2
"130",0.609,"India",0.477031802120141,68,5.4,5497,190,32.8,12.2
"131",0.606,"Honduras",1.08527131782946,73.1,5.5,3938,120,84,25.8
"132",0.605,"Bhutan",0.985507246376812,69.5,3,7176,120,40.9,8.3
"133",0.595,"Timor-Leste",NA,68.2,4.4,5363,270,52.2,38.5
"134",0.594,"Syrian Arab Republic",0.728395061728395,69.6,6.3,2728,49,41.6,12.4
"135",0.594,"Vanuatu",NA,71.9,6.8,2803,86,44.8,0
"136",0.591,"Congo",0.84468085106383,62.3,6.1,6012,410,126.7,11.5
"137",0.59,"Kiribati",NA,66,7.8,2434,130,16.6,8.7
"138",0.587,"Equatorial Guinea",NA,57.6,5.5,21056,290,112.6,19.7
"139",0.586,"Zambia",0.586363636363636,60.1,6.6,3734,280,125.4,12.7
"140",0.579,"Ghana",0.698608964451314,61.4,7,3852,380,58.4,10.9
"141",0.575,"Lao People's Democratic Republic",0.618918918918919,66.2,5,4680,NA,65,25
"142",0.57,"Bangladesh",0.825665859564165,71.6,5.1,3191,170,80.6,20
"143",0.555,"Cambodia",0.432314410480349,68.4,4.4,2949,170,44.3,19
"144",0.555,"Sao Tome and Principe",NA,66.5,4.7,2918,210,65.1,18.2
"145",0.548,"Kenya",0.805732484076433,61.6,6.3,2762,400,93.6,20.8
"146",0.548,"Nepal",0.463350785340314,69.6,3.3,2311,190,73.7,29.5
"147",0.538,"Pakistan",0.418655097613883,66.2,4.7,4866,170,27.3,19.7
