"HDI","Edu2.FM","Life.Exp","Mean.Edu","GNI","Mat.Mor","Ado.Birth","Parli.F"
"Côte d'Ivoire",0.462,0.465116279069767,51.5,4.3,3171,720,130.3,9.2
"Malawi",0.445,0.513888888888889,62.8,4.3,747,510,144.8,16.7
"Ethiopia",0.442,0.428571428571429,64.1,2.4,1428,420,78.4,25.5
"Gambia",0.441,0.552380952380952,60.2,2.8,1507,430,115.8,9.4
"Congo (Democratic Republic of the)",0.433,0.395061728395062,58.7,6,680,730,135.3,8.2
"Liberia",0.43,0.391857506361323,60.9,4.1,805,640,117.4,10.7
"Mali",0.419,0.509933774834437,58,2,1583,550,175.6,9.5
"Mozambique",0.416,0.225806451612903,55.1,3.2,1123,480,137.8,39.6
"Sierra Leone",0.413,0.460829493087558,50.9,3.1,1780,1100,100.7,12.4
"Burkina Faso",0.402,0.28125,58.7,1.4,1591,400,115.4,13.3
"Burundi",0.4,0.63855421686747,56.7,2.7,758,740,30.3,34.9
"Chad",0.392,0.171717171717172,51.6,1.9,2085,980,152,14.9
"Central African Republic",0.35,0.378277153558052,50.7,4.2,581,880,98.3,12.5
"Niger",0.348,0.307692307692308,61.4,1.5,908,630,204.8,13.3
